https://activate.codefi.network/staking/airswap/governance: Connect Wallet, MetaMask
https://app.aave.com/markets: Connect wallet, 
https://app.badger.finance: Connect, MetaMask
https://app.balancer.fi: Connect wallet, Metamask
https://app.bancor.network/eth/data: Connect, MetaMask
https://app.barnbridge.com: Connect Wallet, Metamask
https://app.boringdao.com: Connect Wallet, Metamask
https://app.compound.finance: Connect Wallet, Metamask
https://app.cream.finance: Connect, MetaMask
https://app.defisaver.com: Connect wallet, MetaMask
https://app.dodoex.io: Connect Wallet, MetaMask
https://app.enzyme.finance/depositor/leaderboard: Connect Wallet, MetaMask
https://app.fei.money: Connect Wallet, MetaMask
https://app.flexa.network: Connect your wallet, MetaMask
https://app.maple.finance: Connect Wallet, Metamask
https://app.rari.capital: Connect, Metamask
https://app.rari.capital: Connect, Metamask
https://app.sushi.com: Connect to a wallet, MetaMask
https://app.uniswap.org: Connect Wallet, MetaMask
https://app.warp.finance: Connect wallet, Metamask
https://app.zerion.io: Connect Wallet, MetaMask
https://defi.instadapp.io: Connect, MetaMask
https://foundation.app: Connect, MetaMask
https://inverse.finance/anchor: Connect, Metamask
https://liquity.app: , Connect to MetaMask
https://o3swap.com/swap: Connect Wallet, Connect MetaMask
https://oasis.app/dashboard: , Connect MetaMask
https://opensea.io/assets: , MetaMask
https://pancakeswap.finance: Connect Wallet, Metamask
https://saddle.exchange: Connect Wallet, MetaMask
https://tinlake.centrifuge.io: Connect wallet, MetaMask
https://wasabix.finance/#/app: Wallet, Metamask
https://www.convexfinance.com: Connect Wallet, MetaMask
https://yearn.finance: Connect Wallet, MetaMask
https://app.indexcoop.com: Connect Wallet, MetaMask
https://imx.impermax.finance: Connect Wallet, 
https://app.mai.finance: Connect to a wallet, MetaMask
https://app.reflexer.finance: Connect Wallet, MetaMask
https://app.vesper.finance: Connect Wallet, Metamask
https://app.yield.is: Connect a wallet, Metamask
https://dashboard.keep.network/overview: , MetaMask
https://dmm.exchange/#/about: Connect Wallet, MetaMask
https://exchange.dfyn.network: Connect Wallet, MetaMask
https://for.tube/market/index: Connect, 
https://app.harvest.finance: , MetaMask
https://notional.finance/portfolio: Connect a Wallet, MetaMask
https://rarible.com: Connect wallet, MetaMask
https://trade.dydx.exchange: Connect wallet, 
https://v2.opyn.co: , 
https://zapper.fi/dashboard: Connect Wallet, 
https://pay.sablier.finance: Sign in, MetaMask
https://www.akropolis.io/app/home: Connect to wallet, Metamask & Web3 
https://staking.synthetix.io: , 
